Position,Time,Speed,Torque,Voltage,Current,Resistance
,s,rpm,Nm,V,A,Ohm
1,0.1,1487.278,0.3623951,195.881,0.5969419,148.5
2,0.2,1487,0.3571669,195.9481,0.6060974,148.4
3,0.3,1484.252,0.4052019,195.9817,0.61037,148.5
4,0.4,1478.283,0.4676918,195.7131,0.6140322,148.5
5,0.5,1469.289,0.5142723,195.0585,0.620136,148.4
6,0.6,1458.847,0.5740073,194.2864,0.6671344,148.4
7,0.7,1448.57,0.6358188,193.3464,0.7135226,148.5
8,0.8000001,1437.7,0.7010705,192.2218,0.7354959,148.5
9,0.9000001,1423.022,0.7499629,191.1476,0.7611314,148.5
10,1,1410.914,0.8130994,189.7712,0.8008054,148.5
11,1.1,1398.721,0.8712413,188.462,0.8746603,148.5
12,1.2,1387.249,0.9186448,187.1863,0.915555,148.4
13,1.3,1373.161,0.9980938,185.961,0.9430217,148.4
14,1.4,1364.614,1.051364,184.8028,0.9833061,148.4
15,1.5,1352.457,1.097083,183.695,1.047395,148.4
16,1.6,1345.788,1.159638,182.7719,1.102939,148.5
17,1.7,1334.415,1.220983,181.8319,1.127353,148.5
18,1.8,1326.022,1.26982,180.9087,1.148106,148.4
19,1.9,1316.885,1.338351,179.8345,1.195104,148.5
20,2,1306.879,1.397951,178.861,1.267128,148.5
21,2.1,1297.7,1.445542,177.9042,1.309244,148.4
22,2.2,1287.38,1.511019,176.9475,1.337931,148.4
23,2.3,1276.058,1.586541,175.9739,1.358684,148.5
24,2.4,1266.06,1.668773,175.1347,1.483809,148.5
25,2.5,1256.803,1.683518,174.2283,1.538743,148.5
26,2.6,1247.329,1.74809,173.3387,1.587572,148.4
27,2.7,1239.347,1.803559,172.3316,1.626636,148.4
28,2.799999,1231.241,1.865312,171.5091,1.694998,148.5
29,2.899999,1223.116,1.921607,170.7706,1.637012,148.5
30,2.999999,1214.261,1.982177,169.9481,1.726126,148.3
31,3.099999,1204.683,2.035077,169.0921,1.759697,148.3
32,3.199999,1195.527,2.101435,168.085,1.859187,148.5
33,3.299999,1186.885,2.142738,167.3297,1.96234,148.4
34,3.399999,1179.505,2.205533,166.6079,2.001403,148.4
35,3.499999,1171.897,2.266113,165.8862,2.041688,148.5
36,3.599999,1163.101,2.340741,165.1476,2.083193,148.5
37,3.699999,1153.713,2.381327,164.3251,2.136295,148.5
38,3.799999,1144.373,2.45941,163.5027,2.184514,148.5
39,3.899998,1136.639,2.50701,162.697,2.22785,148.4
40,3.999998,1129.12,2.563618,162.0088,2.294381,148.5
41,4.099998,1122.424,2.631723,161.2031,2.340769,148.5
42,4.199998,1113.111,2.678561,160.515,2.390819,148.3
43,4.299998,1103.928,2.741407,159.81,2.442701,148.3
44,4.399998,1096.755,2.799181,159.0379,2.489089,148.5
45,4.499998,1089.581,2.858892,158.2825,2.533036,148.5
46,4.599998,1082.313,2.920587,157.6279,2.57393,148.3
47,4.699998,1074.433,2.981259,156.9397,2.625201,148.5
48,4.799998,1066.407,3.042436,156.4026,2.63924,148.5
49,4.899998,1059.71,3.095578,155.7648,2.708212,148.5
50,4.999998,1052.291,3.148329,155.0934,2.763145,148.5
51,5.099998,1044.557,3.219748,154.4556,2.811364,148.4
52,5.199997,1035.696,3.263633,153.7338,2.774742,148.4
53,5.299997,1029.385,3.333434,152.9617,2.856532,148.5
54,5.399997,1021.996,3.39502,152.391,2.844324,148.3
55,5.499997,1013.488,3.444637,151.686,2.85348,148.3
56,5.599997,1007,3.510833,150.8804,2.910855,148.5
57,5.699997,999.8101,3.567865,150.3768,2.960905,148.5
58,5.799997,993.7164,3.627682,149.8061,3.022552,148.4
59,5.899997,986.1147,3.683871,149.1851,3.044526,148.4
60,5.999997,979.2546,3.738493,148.6312,3.088472,148.5
61,6.099997,972.2437,3.806883,148.0941,3.145847,148.5
62,6.199996,964.2979,3.855351,147.5066,3.203832,148.5
63,6.299996,957.6631,3.920351,146.7848,3.243506,148.3
64,6.399996,951.4147,3.980936,146.2141,3.292946,148.3
65,6.499996,943.5172,4.038161,145.6099,3.329568,148.5
66,6.599996,936.4464,4.100648,145.0392,3.388164,148.5
67,6.699996,930.4462,4.157591,144.4014,3.437604,148.3
68,6.799996,923.0762,4.214962,143.9314,3.495589,148.5
69,6.899996,915.8011,4.269408,143.2767,3.557236,148.5
70,6.999996,909.5383,4.328061,142.7732,3.608508,148.3
71,7.099996,901.9521,4.390922,142.1857,3.66222,148.3
72,7.199996,894.899,4.454259,141.5143,3.720205,148.5
73,7.299995,888.0967,4.523753,140.8094,3.770256,148.5
74,7.399995,881.2526,4.56324,140.3394,3.814202,148.5
75,7.499995,874.7624,4.630264,139.8023,3.861201,148.5
76,7.599995,869.4116,4.684554,139.2484,3.923458,148.3
77,7.699995,862.1365,4.745717,138.7784,3.971678,148.6
78,7.799995,856.7798,4.803553,138.2245,3.996093,148.6
79,7.899995,849.5211,4.865704,137.872,4.052857,148.3
80,7.999995,842.5219,4.925169,137.3013,4.115725,148.3
81,8.099995,836.1636,4.974266,136.7306,4.159672,148.5
82,8.199995,829.1094,5.039405,136.1599,4.215826,148.5
83,8.299995,823.8401,5.099814,135.6732,4.264655,148.4
84,8.399996,816.3472,5.162954,135.136,4.327523,148.5
85,8.499996,810.4364,5.211812,134.5653,4.380626,148.5
86,8.599997,804.97,5.277199,134.0954,4.443494,148.5
87,8.699997,798.3235,5.333811,133.7093,4.495986,148.5
88,8.799997,792.6376,5.398884,133.189,4.521011,148.3
89,8.899998,786.3885,5.45059,132.719,4.584489,148.3
90,8.999998,780.014,5.508312,132.0812,4.647968,148.6
91,9.099998,774.8914,5.574294,131.7958,4.719991,148.3
92,9.199999,771.7631,5.628723,131.4601,4.777977,148.3
93,9.299999,765.9767,5.689431,131.2923,4.811547,148.5
94,9.4,761.342,5.752994,131.1076,4.863428,148.5
95,9.5,758.2589,5.81283,130.8726,4.937893,148.3
96,9.6,755.6146,5.86634,130.6544,5.000151,148.3
97,9.700001,751.1647,5.928076,130.4866,5.061188,148.4
98,9.800001,747.4797,5.993559,130.2348,5.125887,148.5
99,9.900002,743.5871,6.042255,129.9495,5.175938,148.5
100,10,739.8845,6.102784,129.6473,5.231482,148.3
101,10.1,734.226,6.167714,129.597,5.273597,148.3
102,10.2,729.1209,6.23219,129.4627,5.332803,148.6
103,10.3,724.7621,6.28304,129.2277,5.390788,148.6
104,10.4,720.4662,6.341404,128.9927,5.451825,148.3
105,10.5,716.9861,6.404484,128.657,5.496992,148.5
106,10.6,711.4119,6.464837,128.271,5.55986,148.5
107,10.7,707.6587,6.513852,128.0024,5.603197,148.4
108,10.8,703.9003,6.582458,127.7842,5.667285,148.4
109,10.90001,699.7075,6.64112,127.7171,5.719167,148.3
110,11.00001,696.7001,6.697441,127.5156,5.785697,148.3
111,11.10001,692.0374,6.757636,127.3814,5.846735,148.5
112,11.20001,688.0881,6.821491,127.1464,5.904719,148.2
113,11.30001,683.6408,6.875463,126.945,5.972471,148.2
114,11.40001,679.5667,6.935814,126.7603,6.012145,148.5
115,11.50001,674.9781,6.99796,126.6428,6.075013,148.5
116,11.60001,670.6589,7.058053,126.4246,6.129946,148.3
117,11.70001,666.8309,7.111429,126.24,6.195256,148.3
118,11.80001,662.6805,7.178822,126.0386,6.239202,148.5
119,11.90001,658.7795,7.232517,125.8875,6.294136,148.4
120,12.00001,653.9223,7.297276,125.6693,6.343575,148.4
121,12.10001,649.5308,7.356647,125.4511,6.399119,148.3
122,12.20001,645.674,7.412131,125.2161,6.462598,148.3
123,12.30001,641.1434,7.468028,124.9811,6.527907,148.5
124,12.40001,636.7645,7.526841,124.6454,6.579178,148.5
125,12.50001,632.6811,7.587047,124.2929,6.63106,148.2
126,12.60001,627.6432,7.652623,124.1754,6.69698,148.5
127,12.70001,624.2798,7.71122,123.9404,6.770224,148.5
128,12.80001,620.6875,7.761706,123.8229,6.841638,148.3
129,12.90001,616.9398,7.829107,123.7558,6.890467,148.3
130,13.00001,612.1982,7.890758,123.6215,6.936245,148.4
131,13.10001,607.8881,7.940898,123.3362,6.975308,148.4
132,13.20001,605.0825,8.002108,123.0676,7.032073,148.5
133,13.30001,600.1443,8.067354,122.9501,7.101655,148.5
134,13.40001,594.6276,8.123923,122.7319,7.155368,148.3
135,13.50002,591.959,8.181978,122.4969,7.219457,148.5
136,13.60002,586.4958,8.241074,122.3123,7.284156,148.5
137,13.70002,582.6366,8.302352,122.0437,7.348855,148.1
138,13.80002,578.7872,8.362513,121.792,7.408671,148.1
139,13.90002,573.5144,8.422035,121.6073,7.464215,148.5
140,14.00002,570.6127,8.476626,121.322,7.533797,148.5
141,14.10002,565.1773,8.539093,121.1038,7.581406,148.3
142,14.20002,562.0684,8.595779,121.0198,7.643054,148.3
143,14.30002,556.9597,8.662182,120.9191,7.713856,148.3
144,14.40002,553.864,8.713169,120.6841,7.777945,148.5
145,14.50002,547.8754,8.781258,120.4659,7.820061,148.5
146,14.60002,545.8918,8.837489,120.2309,7.882929,148.2
147,14.70002,539.3304,8.889263,120.0799,7.943966,148.2
148,14.80002,536.0999,8.961237,119.761,8.011106,148.5
149,14.90002,532.0685,9.006417,119.4253,8.093507,148.2
150,15.00002,526.5241,9.078924,119.1903,8.158206,148.2
151,15.10002,524.2421,9.134044,119.0728,8.230229,148.4
152,15.20002,518.89,9.189985,118.8714,8.275396,148.4
153,15.30002,515.8208,9.253785,118.8042,8.327888,148.3
154,15.40002,512.4518,9.309344,118.6196,8.382822,148.3
155,15.50002,506.0414,9.364747,118.435,8.455456,148.3
156,15.60002,501.925,9.429815,118.1832,8.519545,148.5
157,15.70002,499.4874,9.492436,117.9314,8.572037,148.5
158,15.80002,494.6244,9.541049,117.6796,8.637346,148.1
159,15.90002,488.8359,9.611331,117.5118,8.686786,148.1
160,16.00002,483.9581,9.664547,117.1929,8.771017,148.5
161,16.10003,480.9022,9.722262,116.9914,8.834496,148.5
162,16.20003,477.3337,9.784042,116.8907,8.894922,148.1
163,16.30003,472.5219,9.842813,116.7229,8.964504,148.3
164,16.40003,468.3048,9.902793,116.5047,9.009062,148.3
165,16.50003,462.9472,9.967028,116.2697,9.081696,148.3
166,16.60003,459.0034,10.02395,116.1354,9.145174,148.3
167,16.70003,454.9787,10.07904,115.8836,9.219639,148.1
168,16.80003,450.2701,10.14767,115.6319,9.279455,148.1
169,16.90003,446.1369,10.19651,115.4472,9.348427,148.4
170,17.00003,441.4514,10.25782,115.1619,9.411295,148
171,17.10003,436.0903,10.31842,114.8933,9.48393,148
172,17.20003,431.5769,10.38006,114.6583,9.547408,148.3
173,17.30003,426.5562,10.43514,114.3562,9.612107,148.3
174,17.40003,421.696,10.49703,114.2051,9.674365,148.1
175,17.50003,417.0769,10.5597,114.0709,9.743337,148.1
176,17.60003,411.7752,10.61076,113.8527,9.826958,148.3
177,17.70003,407.6737,10.67541,113.5505,9.906916,148.3
178,17.80003,404.2323,10.7299,113.3659,9.945369,148.3
179,17.90003,402.1101,10.79785,113.2316,10.00091,148
