Position,Time,Speed,Torque,Voltage,Current,Resistance
,s,rpm,Nm,V,A,Ohm
116,11.60001,670.6589,7.058053,126.4246,6.129946,148.3
117,11.70001,666.8309,7.111429,126.24,6.195256,148.3
118,11.80001,662.6805,7.178822,126.0386,6.239202,148.5
119,11.90001,658.7795,7.232517,125.8875,6.294136,148.4
120,12.00001,653.9223,7.297276,125.6693,6.343575,148.4
121,12.10001,649.5308,7.356647,125.4511,6.399119,148.3
122,12.20001,645.674,7.412131,125.2161,6.462598,148.3
123,12.30001,641.1434,7.468028,124.9811,6.527907,148.5
124,12.40001,636.7645,7.526841,124.6454,6.579178,148.5
125,12.50001,632.6811,7.587047,124.2929,6.63106,148.2
126,12.60001,627.6432,7.652623,124.1754,6.69698,148.5
127,12.70001,624.2798,7.71122,123.9404,6.770224,148.5
128,12.80001,620.6875,7.761706,123.8229,6.841638,148.3
129,12.90001,616.9398,7.829107,123.7558,6.890467,148.3
130,13.00001,612.1982,7.890758,123.6215,6.936245,148.4
131,13.10001,607.8881,7.940898,123.3362,6.975308,148.4
132,13.20001,605.0825,8.002108,123.0676,7.032073,148.5
133,13.30001,600.1443,8.067354,122.9501,7.101655,148.5
134,13.40001,594.6276,8.123923,122.7319,7.155368,148.3
135,13.50002,591.959,8.181978,122.4969,7.219457,148.5
136,13.60002,586.4958,8.241074,122.3123,7.284156,148.5
137,13.70002,582.6366,8.302352,122.0437,7.348855,148.1
138,13.80002,578.7872,8.362513,121.792,7.408671,148.1
139,13.90002,573.5144,8.422035,121.6073,7.464215,148.5
140,14.00002,570.6127,8.476626,121.322,7.533797,148.5
141,14.10002,565.1773,8.539093,121.1038,7.581406,148.3
142,14.20002,562.0684,8.595779,121.0198,7.643054,148.3
143,14.30002,556.9597,8.662182,120.9191,7.713856,148.3
144,14.40002,553.864,8.713169,120.6841,7.777945,148.5
145,14.50002,547.8754,8.781258,120.4659,7.820061,148.5
146,14.60002,545.8918,8.837489,120.2309,7.882929,148.2
147,14.70002,539.3304,8.889263,120.0799,7.943966,148.2
148,14.80002,536.0999,8.961237,119.761,8.011106,148.5
149,14.90002,532.0685,9.006417,119.4253,8.093507,148.2
150,15.00002,526.5241,9.078924,119.1903,8.158206,148.2
151,15.10002,524.2421,9.134044,119.0728,8.230229,148.4
152,15.20002,518.89,9.189985,118.8714,8.275396,148.4
153,15.30002,515.8208,9.253785,118.8042,8.327888,148.3
154,15.40002,512.4518,9.309344,118.6196,8.382822,148.3
155,15.50002,506.0414,9.364747,118.435,8.455456,148.3
156,15.60002,501.925,9.429815,118.1832,8.519545,148.5
157,15.70002,499.4874,9.492436,117.9314,8.572037,148.5
158,15.80002,494.6244,9.541049,117.6796,8.637346,148.1
159,15.90002,488.8359,9.611331,117.5118,8.686786,148.1
160,16.00002,483.9581,9.664547,117.1929,8.771017,148.5
161,16.10003,480.9022,9.722262,116.9914,8.834496,148.5
162,16.20003,477.3337,9.784042,116.8907,8.894922,148.1
163,16.30003,472.5219,9.842813,116.7229,8.964504,148.3
164,16.40003,468.3048,9.902793,116.5047,9.009062,148.3
165,16.50003,462.9472,9.967028,116.2697,9.081696,148.3
166,16.60003,459.0034,10.02395,116.1354,9.145174,148.3
167,16.70003,454.9787,10.07904,115.8836,9.219639,148.1
168,16.80003,450.2701,10.14767,115.6319,9.279455,148.1
169,16.90003,446.1369,10.19651,115.4472,9.348427,148.4
170,17.00003,441.4514,10.25782,115.1619,9.411295,148
171,17.10003,436.0903,10.31842,114.8933,9.48393,148
172,17.20003,431.5769,10.38006,114.6583,9.547408,148.3
173,17.30003,426.5562,10.43514,114.3562,9.612107,148.3
174,17.40003,421.696,10.49703,114.2051,9.674365,148.1
175,17.50003,417.0769,10.5597,114.0709,9.743337,148.1
176,17.60003,411.7752,10.61076,113.8527,9.826958,148.3
177,17.70003,407.6737,10.67541,113.5505,9.906916,148.3
178,17.80003,404.2323,10.7299,113.3659,9.945369,148.3
179,17.90003,402.1101,10.79785,113.2316,10.00091,148
